Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,Author
"FUTBOL SENIORS

📍El tanto de Emiliano Di Giacomo para la victoria del Senior “A” ante Banco Ciudad. https://t.co/rfSpc4kqLQ",2022-05-30 20:43:17,es,,0.0,0.0,,CPBCRA,Cuenta de twitter  oficial del Club del Personal del Banco Central de la República Argentina.,634.0,19.0,2.0,124.0,0.0,False,,,@CPBCRAoficial
"FUTBOL SENIORS

📍Seniors “A”: Victoria como visitantes ante Banco Ciudad por 1-0 gracias al gol de E. Di Giacomo.

📍Seniors “B” (📷): Gran triunfo ante Banco Macro por 7 a 1. Los goles: L. Garaycochea, P.Galván (2), F.Rodríguez (2), A.Boffil y C. Saladino.
-&gt; https://t.co/RUrjEU93rO",2022-05-30 20:40:41,es,,1.0,1.0,,CPBCRA,Cuenta de twitter  oficial del Club del Personal del Banco Central de la República Argentina.,634.0,19.0,2.0,124.0,0.0,False,,,@CPBCRAoficial
@krusty_78 comenzamos a seguirte seguinos para que puedas enviarnos DM aguardamos tu pronta respuesta saludos,2022-05-30 19:30:45,es,,0.0,0.0,@krusty_78,Banco Ciudad,Escribinos por Mensaje directo y empeza la conversación con nuestro asistente virtual. Podes hablar con una persona del equipo de L a V de 8 a 20 horas,4.0,0.0,12.0,1.0,0.0,False,,,@__Banco_Ciudad
@P_Villalba comenzamos a seguirte seguinos para que puedas enviarnos DM aguardamos tu pronta respuesta saludos,2022-05-30 19:29:50,es,,0.0,0.0,@P_Villalba,Banco Ciudad,Escribinos por Mensaje directo y empeza la conversación con nuestro asistente virtual. Podes hablar con una persona del equipo de L a V de 8 a 20 horas,4.0,0.0,12.0,1.0,0.0,False,,,@__Banco_Ciudad
@ester_d_m comenzamos a seguirte seguimos para que puedas enviarnos DM aguardamos tu pronta respuesta saludos,2022-05-30 19:28:38,es,,0.0,0.0,@ester_d_m,Banco Ciudad,Escribinos por Mensaje directo y empeza la conversación con nuestro asistente virtual. Podes hablar con una persona del equipo de L a V de 8 a 20 horas,4.0,0.0,12.0,1.0,0.0,False,,,@__Banco_Ciudad
@AdrianG57086116 Hola buenas tardes comenzamos a seguirte seguimos para que puedas enviarnos DM aguardamos tu pronta respuesta saludos,2022-05-30 19:28:00,es,,0.0,0.0,@AdrianG57086116,Banco Ciudad,Escribinos por Mensaje directo y empeza la conversación con nuestro asistente virtual. Podes hablar con una persona del equipo de L a V de 8 a 20 horas,4.0,0.0,12.0,1.0,0.0,False,,,@__Banco_Ciudad
Hola @elianaveok Buenas tardes estimado cliente empezamos a seguirte seguinos para que nos puedas enviarnos MD aguardamos por tu consulta atención al cliente Banco Ciudad https://t.co/gy9o89YpIO,2022-05-30 18:41:32,es,,0.0,0.0,,Banco Ciudad,Bienvenido a nuestra página oficial de atención al cliente de banco ciudad contáctanos al privado Muchas gracias.,11.0,0.0,114.0,1.0,0.0,False,,,@_BncCiudad
@ester_d_m Hola buenas tardes para una mejor información te pedimos que nos brindes un número de contacto y un asesor personal restablecera la comunicación al instante Muchas gracias Banco Ciudad,2022-05-30 18:29:02,es,,0.0,0.0,@ester_d_m,Banco Ciudad,Escribinos por mensaje directo y enpeza la conversación  con nuestros asistentes   virtuales podes hablar con una persona del equipo de L a V de 8 hs a 20 Horas,52.0,0.0,74.0,4.0,0.0,False,,,@CUIDADconsultas
Hablen dirigentes explique  como se subsiste sin sponsor durante un año y medio .Que pasó con el dinero del banco ciudad que iba a ir destinado a las luminarias del estadio q no se cambiaron.,2022-05-30 17:33:32,es,,67.0,16.0,,El Método San Lorenzo,"💻📱🗯 Programa Radial .
Informacion.Proyectos.Economía. Marketing 
Think tank
@sanlorenzoredes 
Lunes y Viernes 20 30 hs 
por https://t.co/M62ce5fLsk",27158.0,1137.0,890.0,10860.0,43.0,False,,,@elmetodosanlore
Tengo q hacerme la transferencia del sueldo y la pagina del banco ciudad no funciona larepucha!,2022-05-30 16:05:27,es,,0.0,0.0,,Papy Ruky,me la paso comiendo y fumando porro,26620.0,16702.0,297.0,506.0,2.0,False,,,@RedonMartin1
