Selected,Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,Author
No,"A las 10:55, se registran 3.879 usuarios de EDESUR (0.15% del total) y 2.929 usuarios de EDENOR (0.09% del total) sin suministro eléctrico.",2022-05-17 14:02:04,es,,0.0,0.0,,Apagon Bot,Soy un bot que reporta la cantidad de usuarios sin suministro eléctrico en el AMBA. Me escribió @fedetiberti.,3194.0,0.0,2.0,1057.0,2.0,False,,,@ApagonBot
No,"Hola @Edenor . Efectuamos un reclamo esta mañana. El número es 48119. Cable derretido en el medidor. Por favor, urgente!!!",2022-05-17 14:01:06,es,,0.0,0.0,,Tana (Locutora),"Formación en Derechos Humanos y Derecho a la Identidad en  la Secretaría de Derechos Humanos de la Nación. Ley Micaela.
Bloqueo mamertos empedernidos.",3997.0,8389.0,183.0,155.0,0.0,False,,,@Tanatablada
No,"José Luis Manzano, el renacido: la historia del hombre que se quedó con Edenor. Socio de Joe Lewis y Enrique “Coti” Nosiglia. . 
https://t.co/saqZvg8cgE https://t.co/UP94eb2CvZ",2022-05-17 13:57:50,es,,1.0,0.0,,Andy,"Peronista, Kirchnerista y Cristinista, sin contradicciones.
LOS MEJORES AÑOS FUERON PERONISTAS y KIRCHNERISTAS HASTA QUE ME DEMUESTREN LO CONTRARIO.",17305.0,2895.0,2265.0,1376.0,0.0,False,,,@Andy53995935
No,"Puse el aire en calefacción, la boleta de Edenor va ser problema de Fer del futuro",2022-05-17 13:48:29,es,,0.0,0.0,,Fer,Protect me from what I want,2641.0,20826.0,207.0,35.0,0.0,False,,,@CausativeBug70
No,@marce_keselman @mrgr2011 Poné un aviso “permuto propiedad zona Edesur por propiedad zona Edenor” te van a llamar 500!!,2022-05-17 13:48:29,es,,0.0,0.0,@marce_keselman,Vinagreti,,27218.0,137811.0,2981.0,2000.0,0.0,False,,,@vinagreti1
No,@Smarenssi @Edenor Porque es la plataforma de pago seguro que utiliza Edenor para sus cobros online.,2022-05-17 13:40:33,es,,0.0,0.0,@Smarenssi,Kong Cautivo en Peronia,"Del lado de la grieta q reúne a los castigados contribuyentes. Antibiótico de amplio espectro contra toda especie perónida, zurda o pobrista de cualquier cepaje",39974.0,141702.0,2308.0,1242.0,4.0,False,,,@mecagoenperonia
No,"@arilijalad el problema no es Edenor, es el Estado argentino.
todo el empresariado argentino se coge de parado al Estado.
Si no, los 2 pelotudos no recibirían con pleitesía en casa de gobierno, a paolo Rocca",2022-05-17 13:39:56,es,,0.0,0.0,@arilijalad,"Yo si,que No lo Voté",El Modelo me envolvio para Regalo. Bostero y Riquelmiano.,17078.0,22172.0,269.0,245.0,1.0,False,,,@walcitorg
No,@Edenor Me contactan por favor por DM tengo un proyecto para compartirlos sobre Reciclado y Sustentabilidad.,2022-05-17 13:16:00,es,,0.0,0.0,@Edenor,Duquesa de Parma,"He nacido en Parma, alcanza?",20162.0,18417.0,1805.0,959.0,6.0,False,,,@DuquesadeParma
No,Llame a edenor para solicitar facturaciones de años anteriores cuando la luz estaba a nombre de mi viejo fallecido y me dijeron que solo puede solicitar esa información la persona titular.,2022-05-17 13:06:23,es,,0.0,0.0,,MotoNonᥱ,"Abrazo mejor de lo que escribo.
Artífice de lo insperado. Colifa por causalidad.",51764.0,33264.0,320.0,1346.0,25.0,False,,,@NuyunNewen
No,"A las 9:55, se registran 1.458 usuarios de EDESUR (0.06% del total) y 994 usuarios de EDENOR (0.03% del total) sin suministro eléctrico.",2022-05-17 13:02:05,es,,1.0,0.0,,Apagon Bot,Soy un bot que reporta la cantidad de usuarios sin suministro eléctrico en el AMBA. Me escribió @fedetiberti.,3194.0,0.0,2.0,1057.0,2.0,False,,,@ApagonBot
No,@Edenor por favor necesito atención al cliente!! Gracias,2022-05-17 12:24:22,es,,0.0,0.0,@Edenor,Melu,Simple...,7768.0,5333.0,722.0,303.0,1.0,False,,,@Melunitita
No,"@Edenor No quiero que me informen una mierda QUIERO QUE VENGAN!!!!!!! A SOLUCIONAR EL PROBLEMA YAAAAAAAAA
INUTILEESSSSSSSS",2022-05-17 12:15:07,es,,1.0,0.0,@Edenor,Sol,,367.0,6570.0,75.0,21.0,0.0,False,,,@Solamitrano1
No,@bigsledge2022 Por la pauta de Edenor que ahora pertenece a sus amigos y socios?,2022-05-17 12:15:05,es,,3.0,2.0,@bigsledge2022,SeFueLaRepublica 🌱🐱💜,AntiKKK No pierdo tiempo discutiendo con ellos,176548.0,171390.0,3202.0,3437.0,25.0,False,,,@1genoveva
No,Dia 4 esperando que @Edenor venga a arreglar el poste de luz que se está por caer arriba de mi casa.,2022-05-17 12:11:47,es,,0.0,0.0,,Sol,,367.0,6570.0,75.0,21.0,0.0,False,,,@Solamitrano1
No,"No te quedes sin Internet cuando te quedas sin Electricidad 😱😱 y conecta tu router al  Mini UPS + Power Bank DC-140USB Portable 
#upsforza
#nohayluz #edesur #edenor #sinluz #sininternet #homeoffice #wifi #upsforza #teletrabajo #argentina https://t.co/K5bofzKMmM  May 17, 202… https://t.co/1CgxJq4iAs",2022-05-17 12:02:42,es,,0.0,0.0,,Excel Caba Store - Acc. Computación y Celulares,Tienda de Tecnología a un click 👉 #Computacion #HomeOffice #tiendaonline #Gamer #Gaming #AccesoriosCelulares #Fundas #Iphone #Samsung  #gadgets #Argentina,1976.0,376.0,48.0,10.0,0.0,False,,,@ExcelCaba_Store
No,"A las 8:55, se registran 1.147 usuarios de EDESUR (0.05% del total) y 679 usuarios de EDENOR (0.02% del total) sin suministro eléctrico.",2022-05-17 12:02:05,es,,0.0,0.0,,Apagon Bot,Soy un bot que reporta la cantidad de usuarios sin suministro eléctrico en el AMBA. Me escribió @fedetiberti.,3194.0,0.0,2.0,1057.0,2.0,False,,,@ApagonBot
