Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,Author
@depreforever @BancoCiudad @Independiente Esas cosas no son gratis. Son a cambio de que no le haga kilombo Moyano en CABA,2022-06-22 17:58:10,es,,2.0,1.0,@depreforever,La Heladera sigue vacía,"La vida es eso q transcurre mientras te roba el peronismo. Hay dos clases de peronistas, el q te cagó y el q te va a cagar. Batlle tenía razón. Peronistan.",129092.0,30626.0,2187.0,4148.0,16.0,False,,,@crpaoladi
@BancoCiudad,2022-06-22 17:40:19,und,,0.0,0.0,@BancoCiudad,mario j,"Hombre, feliz, abierto a nuevas sensaciones, emociones y vivencias. Es decir viviendo con mas ganas y pilas",55.0,18.0,249.0,14.0,0.0,False,,,@marios117
"@BancoCiudad @Independiente @carolina_moine @jmilei no melonees más con Macri, son todos una basura que se financia del GCBA.",2022-06-22 17:39:27,es,,0.0,0.0,@JBAlberdi1,كا🍊رلوس ماستيتون,Yo soy el que es. Macabeo de Milei.,28590.0,187568.0,1981.0,573.0,4.0,False,,,@JBAlberdi1
"@BancoCiudad @Independiente A ver, el Banco Ciudad de Larreta dando millones al club de Moyano, fundido @crpaoladi",2022-06-22 17:38:20,es,,0.0,0.0,@BancoCiudad,depreforever,"State is a gang of thieves.
Political correctness is a tyranny",102256.0,159984.0,1587.0,2047.0,23.0,False,,,@depreforever
"@BancoCiudad @Independiente Para vos @carolina_moine que crees que Macri es impoluto.

Son todos socios.",2022-06-22 17:37:35,es,,0.0,0.0,@BancoCiudad,كا🍊رلوس ماستيتون,Yo soy el que es. Macabeo de Milei.,28590.0,187568.0,1981.0,573.0,4.0,False,,,@JBAlberdi1
El @BancoCiudad amenazándome por mail con cerrarme la cuenta si no justifico un par de movimientos EN PESOS!! jajaja! 🤡🤡,2022-06-22 17:19:39,es,,0.0,0.0,,Seba,Analista financiero y emprendedor. Alguna vez fui Infante de Marina. Objetivista y fisiócrata. Apasionado del campo y amante del mar.,6529.0,31142.0,1351.0,1311.0,2.0,False,,,@sandokan83
@BancoCiudad Es joda no? 6 minutos que no respondo y cierran el caso sin solución y yo tengo que estar 17 minutos al tel y me cortan https://t.co/bvEIcPOXqg,2022-06-22 17:12:41,es,,0.0,0.0,@BancoCiudad,Noe Gonzalez 🇦🇷,Lic. en Administración (UBA)👩🏽‍💻♻️✈️🌍💙💛💙,6244.0,4496.0,632.0,356.0,3.0,False,,,@cocoTapalque
"@BancoCiudad ni leer, ya me respondiste esto y tu asistente al teléfono, me corto luego de 17 min que me estuvo a la espera #peorbancociudad #VerguenzaNacional",2022-06-22 16:55:42,es,,0.0,0.0,@BancoCiudad,Noe Gonzalez 🇦🇷,Lic. en Administración (UBA)👩🏽‍💻♻️✈️🌍💙💛💙,6244.0,4496.0,632.0,356.0,3.0,False,,,@cocoTapalque
"@BancoCiudad hay una persona del otro lado de esta espera, que me dijo ya te respondo...",2022-06-22 16:48:57,es,,0.0,0.0,@BancoCiudad,Noe Gonzalez 🇦🇷,Lic. en Administración (UBA)👩🏽‍💻♻️✈️🌍💙💛💙,6244.0,4496.0,632.0,356.0,3.0,False,,,@cocoTapalque
"@gusqq @MODO_Arg @cafemartinez @BancoCiudad @dzapatillas Es increíble. Al final siempre las empresas ofrecen  ""ayuda"" Cuando las que la necesitan son ellas. No pide ayuda. Es un RECLAMO!",2022-06-22 16:48:52,es,,0.0,0.0,@gusqq,Horacio Felamini,"Profe, cantor, papá y compañero",162.0,331.0,147.0,39.0,1.0,False,,,@HFelamini
